stopId,stopPublicId,name,coordinate,type,flag,stopAccessibilityMask,lines,directionPerLine,id
17025,6870,KENNEDY RD / VANDERBERGH AV,"{'lat': 43.885384, 'lon': -79.315923}",S,,1,"['008', '304', '418']","['SOUTHBOUND', 'MORNING', 'AFTERNOON']",6870
17024,6869,KENNEDY RD / BECKETT AV,"{'lat': 43.882335, 'lon': -79.31512}",S,,1,"['008', '304', '418']","['SOUTHBOUND', 'MORNING', 'AFTERNOON']",6869
1874,1874,KENNEDY RD / 16TH AV,"{'lat': 43.879725, 'lon': -79.314525}",N,,1,"['008', '304', '418']","['SOUTHBOUND', 'MORNING', 'AFTERNOON']",1874
1875,1875,KENNEDY RD / BIRCHVIEW LANE,"{'lat': 43.876942, 'lon': -79.313194}",S,,1,"['008', '304']","['SOUTHBOUND', 'MORNING']",1875
1876,1876,KENNEDY RD / THE BRIDLE TRL,"{'lat': 43.875764, 'lon': -79.310302}",S,,1,"['008', '304']","['SOUTHBOUND', 'MORNING']",1876
16896,6798,KENNEDY RD STOP # 6798,"{'lat': 43.872554, 'lon': -79.306172}",S,,1,"['008', '304']","['SOUTHBOUND', 'MORNING']",6798
1877,1877,KENNEDY RD / CARLTON RD,"{'lat': 43.87022, 'lon': -79.305333}",S,,1,"['008', '304']","['SOUTHBOUND', 'MORNING']",1877
1878,1878,KENNEDY RD / AUSTIN DR,"{'lat': 43.866752, 'lon': -79.304154}",S,,1,"['008', '304']","['SOUTHBOUND', 'MORNING']",1878
674,9748,KENNEDY RD / HWY 7,"{'lat': 43.86215, 'lon': -79.303634}",N,,1,"['008', '304', '522', '603A']","['SOUTHBOUND', 'MORNING', 'WESTBOUND', 'WESTBOUND']",9748
1880,1880,KENNEDY RD / AVOCA DR,"{'lat': 43.859806, 'lon': -79.302821}",S,,0,"['008', '304', '522']","['SOUTHBOUND', 'MORNING', 'WESTBOUND']",1880
1881,1881,KENNEDY RD / CASTAN AV,"{'lat': 43.858309, 'lon': -79.303326}",S,,1,"['008', '304', '522']","['SOUTHBOUND', 'MORNING', 'WESTBOUND']",1881
1882,1882,KENNEDY RD / UNIONVILLE GATE,"{'lat': 43.856339, 'lon': -79.305193}",S,,1,"['008', '304', '522']","['SOUTHBOUND', 'MORNING', 'WESTBOUND']",1882
1883,1883,KENNEDY RD / YMCA BLVD,"{'lat': 43.853652, 'lon': -79.307565}",S,,1,"['008', '522']","['SOUTHBOUND', 'WESTBOUND']",1883
4172,4172,UNIONVILLE GO STATION PLATFORM 6,"{'lat': 43.852113, 'lon': -79.314196}",N,,1,['008'],['SOUTHBOUND'],4172
1884,1884,KENNEDY RD / DUFFIELD DR,"{'lat': 43.846266, 'lon': -79.305834}",S,,1,"['008', '522']","['SOUTHBOUND', 'WESTBOUND']",1884
1885,1885,KENNEDY RD / 14TH AV,"{'lat': 43.843729, 'lon': -79.305136}",S,,1,['008'],['SOUTHBOUND'],1885
1886,1886,KENNEDY RD / LEE AV,"{'lat': 43.841191, 'lon': -79.304506}",S,,1,['008'],['SOUTHBOUND'],1886
1887,1887,KENNEDY RD / HIGHGLEN AV,"{'lat': 43.838848, 'lon': -79.303896}",S,,0,['008'],['SOUTHBOUND'],1887
1888,1888,KENNEDY RD / DENISON ST,"{'lat': 43.834733, 'lon': -79.304433}",N,,0,['008'],['SOUTHBOUND'],1888
1889,1889,KENNEDY RD / GORVETTE RD,"{'lat': 43.832618, 'lon': -79.305563}",S,,1,['008'],['SOUTHBOUND'],1889
1890,1890,KENNEDY RD / CLAYTON DR,"{'lat': 43.827974, 'lon': -79.307974}",S,,1,['008'],['SOUTHBOUND'],1890
16693,6653,KENNEDY RD / STEELES AV,"{'lat': 43.82435, 'lon': -79.307529}",N,,1,['008'],['SOUTHBOUND'],6653
5619,5619,BOX GROVE BY PASS / OAKBOROUGH DR,"{'lat': 43.864747, 'lon': -79.227079}",N,,1,"['009', '009', '014', '401', '401', '411', '411', '416', '416']","['NORTHBOUND', 'SOUTHBOUND', 'WESTBOUND', 'MORNING', 'AFTERNOON', 'MORNING', 'AFTERNOON', 'MORNING', 'AFTERNOON']",5619
15876,6156,BOX GROVE BYPASS / COPPER CREEK DR,"{'lat': 43.865279, 'lon': -79.228887}",S,,1,"['009', '401', '411', '416']","['NORTHBOUND', 'MORNING', 'MORNING', 'MORNING']",6156
