stopId,lon,tag,title,lat,directions,lines,directionPerLine,id
4187,-79.41209,437,King St West At Strachan Ave,43.6419399,East,"['304A', '504A']","['East', 'East']",4187
4178,-79.4077599,3039,King St West At Niagara St,43.64281,East,"['304A', '504A']","['East', 'East']",4178
4189,-79.4053599,2452,King St West At Tecumseth St,43.6433,East,"['304A', '504A']","['East', 'East']",4189
15650,-79.40181,23897,King St West At Bathurst St East Side,43.6439899,East,"['304A', '504A']","['East', 'East']",15650
15649,-79.3995,23896,King St West At Portland St East Side,43.6444599,East,"['304A', '504A']","['East', 'East']",15649
15648,-79.3942999,23895,King St West At Spadina Ave East Side,43.64551,East,"['304A', '504A']","['East', 'East']",15648
15646,-79.39164,23893,King St West At Blue Jays Way East Side,43.6460999,East,"['304A', '504A']","['East', 'East']",15646
15644,-79.38927,23891,King St West At John St East Side,43.6466099,East,"['304A', '504A']","['East', 'East']",15644
15642,-79.3836899,23889,King St West At York St - St Andrew Station,43.64781,East,"['304A', '503', '504A']","['East', 'East', 'East']",15642
15640,-79.37962,23887,King St West At Bay St East Side,43.6487199,East,"['304A', '503', '504A']","['East', 'East', 'East']",15640
15638,-79.37726,23885,King St West At Yonge St East Side - King Station,43.6492299,East,"['304A', '503', '504A']","['East', 'East', 'East']",15638
12537,-79.3738299,23898,King St East At Church St East Side,43.64998,East,"['304A', '503', '504A']","['East', 'East', 'East']",12537
15636,-79.37129,23883,King St West At Jarvis St East Side,43.6505399,East,"['304A', '503', '504A']","['East', 'East', 'East']",15636
4145,-79.3683699,8338,King St East At Sherbourne St,43.65117,East,"['304A', '503', '504A']","['East', 'East', 'East']",4145
15352,-79.36617,15143,King St East At Ontario St,43.6516499,East,"['304A', '503', '504A']","['East', 'East', 'East']",15352
4140,-79.36337,8207,King St East At Parliament St,43.6525599,East,"['304A', '504D', '504A']","['East', 'East', 'East']",4140
4143,-79.36038,1712,King St East At Sackville St,43.6542999,East,"['304A', '504D', '504A']","['East', 'East', 'East']",4143
4148,-79.3586999,1909,King St East At Sumach St,43.65528,East,"['304A', '504D', '504A']","['East', 'East', 'East']",4148
15461,-79.35809,15355,Cherry St At Front St East,43.6528399,East,"['304A', '504A']","['East', 'East']",15461
4142,-79.3559699,1159,King St East At River St,43.65708,West,"['304', '504A', '504D']","['West', 'West', 'West']",4142
4149,-79.35834,10198,King St East At Sumach St,43.6556599,West,"['304', '504A', '504D']","['West', 'West', 'West']",4149
4144,-79.36016,7621,King St East At Sackville St,43.6545999,West,"['304', '504A', '504D']","['West', 'West', 'West']",4144
4141,-79.36302,1389,King St East At Parliament St,43.6529099,West,"['304', '504A']","['West', 'West']",4141
4139,-79.3658799,1581,King St East At Ontario St,43.65186,West,"['304', '503', '504A']","['West', 'West', 'West']",4139
4146,-79.36813,1962,King St East At Sherbourne St,43.6513499,West,"['304', '503', '504A']","['West', 'West', 'West']",4146
15635,-79.37245,23882,King St West At Jarvis St West Side,43.6503899,West,"['304', '503', '504A']","['West', 'West', 'West']",15635
12538,-79.37497,23899,King St East At Church St West Side,43.6498399,West,"['304', '503', '504A']","['West', 'West', 'West']",12538
15637,-79.37856,23884,King St West At Yonge St West Side - King Station,43.6490599,West,"['304', '503', '504A']","['West', 'West', 'West']",15637
15639,-79.3806199,23886,King St West At Bay St West Side,43.64862,West,"['304', '503', '504A']","['West', 'West', 'West']",15639
15641,-79.38596,23888,King St West At Simcoe St - St. Andrew Station,43.6474899,West,"['304', '504A']","['West', 'West']",15641
15643,-79.3901599,23890,King St West At John St West Side,43.64654,West,"['304', '504A']","['West', 'West']",15643
4181,-79.3920099,6593,King St West At Peter St,43.64616,West,"['304', '504A']","['West', 'West']",4181
15647,-79.39581,23894,King St West At Spadina Ave West Side,43.6453699,West,"['304', '504A']","['West', 'West']",15647
10176,-79.39994,5279,King St West At Portland St,43.6445299,West,"['304', '504A']","['West', 'West']",10176
4156,-79.4018899,7211,King St West At Bathurst St,43.64414,West,"['304', '504A']","['West', 'West']",4156
4190,-79.40505,954,King St West At Tecumseth St,43.6434899,West,"['304', '504A']","['West', 'West']",4190
4179,-79.4075399,2333,King St West At Niagara St,43.64299,West,"['304', '504A']","['West', 'West']",4179
4188,-79.4117799,2462,King St West At Strachan Ave,43.64213,West,"['304', '504A']","['West', 'West']",4188
4163,-79.4147699,8560,King St West At Shaw St,43.64153,West,"['304', '504A']","['West', 'West']",4163
11021,-79.41718,2217,King St West At Sudbury St,43.6410599,West,"['304', '504A']","['West', 'West']",11021
4175,-79.4220799,5091,King St West At Jefferson Ave,43.64007,West,"['304', '504A']","['West', 'West']",4175
14400,-79.4234099,10438,King St West At Joe Shuster Way,43.6398,West,"['304', '504A']","['West', 'West']",14400
4166,-79.427,4341,King St West At Dufferin St,43.6390899,West,"['304', '504A']","['West', 'West']",4166
13890,-79.43076,5890,King St West At Spencer Ave,43.6383099,West,"['304', '504A']","['West', 'West']",13890
4169,-79.4330599,5141,King St West At Dunn Ave,43.63784,West,"['304', '504A']","['West', 'West']",4169
4174,-79.4358599,7460,King St West At Jameson Ave,43.63726,West,"['304', '504A']","['West', 'West']",4174
4165,-79.43838,10237,King St West At Dowling Ave,43.6367699,West,"['304', '504A']","['West', 'West']",4165
4193,-79.4421099,9878,King St West At Wilson Park Rd West Side,43.6370399,West,"['304', '504A']","['West', 'West']",4193
11596,-79.44586,8975,King St West At Queen St West,43.6385999,West,"['304', '504A']","['West', 'West']",11596
15059,-79.44617,14837,Roncesvalles Ave At Queen St West North Side,43.6392299,West,"['304', '504A']","['West', 'West']",15059
15038,-79.44709,14807,Roncesvalles Ave At Marion St North Side,43.64143,West,"['304', '504A']","['West', 'West']",15038
4574,-79.4478999,9854,Roncesvalles Ave At Garden Ave,43.6435399,West,"['304', '504A']","['West', 'West']",4574
4571,-79.44892,987,Roncesvalles Ave At Fermanagh Ave,43.64617,West,"['304', '504A']","['West', 'West']",4571
4576,-79.4498699,8244,Roncesvalles Ave At Grenadier Rd,43.6486399,West,"['304', '504A']","['West', 'West']",4576
4578,-79.45084,9383,Roncesvalles Ave At Howard Park Ave,43.65116,West,"['304', '504A']","['West', 'West']",4578
4568,-79.45155,1222,Roncesvalles Ave At Boustead Ave North Side,43.65317,West,"['304', '504A']","['West', 'West']",4568
2150,-79.45233,7898,Dundas St West At Bloor St West,43.6561,West,"['304', '305', '504A', '505']","['West', 'West', 'West', 'West']",2150
15462,-79.35682,15356,Distillery Loop,43.6508599,East,['304'],['East'],15462
15351,-79.3562499,15142,King St East At Lower River St,43.65673,East,"['304', '504D']","['East', 'East']",15351
14666,-79.45346,14187,Dundas West Station,43.6566999,East,"['305', '505']","['East', 'East']",14666
2181,-79.45126,6600,Dundas St West At Roncesvalles Ave East Side,43.6534799,East,"['305', '505']","['East', 'East']",2181
2167,-79.4485199,2954,Dundas St West At Howard Park Ave,43.6522299,East,"['305', '505']","['East', 'East']",2167
987,-79.4457599,2243,Dundas St West At Sorauren Ave,43.6512499,East,"['305', '306', '505', '506']","['East', 'East', 'East', 'East']",987
991,-79.44325,7506,Dundas St West At Sterling Rd,43.65063,East,"['305', '306', '505', '506']","['East', 'East', 'East', 'East']",991
2170,-79.44013,1606,Dundas St West At Lansdowne Ave,43.65011,East,"['305', '505']","['East', 'East']",2170
2151,-79.43572,2176,Dundas St West At Brock Ave,43.6498299,East,"['305', '505']","['East', 'East']",2151
2186,-79.4338399,1385,Dundas St West At Sheridan Ave,43.64972,East,"['305', '505']","['East', 'East']",2186
2160,-79.43156,1063,Dundas St West At Dufferin St,43.64959,East,"['305', '505']","['East', 'East']",2160
2164,-79.4299699,7289,Dundas St West At Gladstone Ave,43.64952,East,"['305', '505']","['East', 'East']",2164
2172,-79.42688,9568,Dundas St West At Lisgar St,43.64943,East,"['305', '505']","['East', 'East']",2172
2158,-79.4248899,1416,Dundas St West At Dovercourt Rd,43.64937,East,"['305', '505']","['East', 'East']",2158
2175,-79.42094,3702,Dundas St West At Ossington Ave,43.64927,East,"['305', '505']","['East', 'East']",2175
2185,-79.41849,6324,Dundas St West At Shaw St,43.6496999,East,"['305', '505']","['East', 'East']",2185
10181,-79.4142199,7139,Dundas St West At Grace St,43.65058,East,"['305', '505']","['East', 'East']",10181
15354,-79.4110299,15146,Dundas St West At Manning Ave,43.6512,East,"['305', '505']","['East', 'East']",15354
2140,-79.4062599,3665,Dundas St West At Bathurst St - Toronto Western Hospital,43.65216,East,"['305', '505']","['East', 'East']",2140
2156,-79.40236,6692,Dundas St West At Denison Ave,43.6519399,East,"['305', '505']","['East', 'East']",2156
2189,-79.3983399,6046,Dundas St West At Spadina Ave,43.65278,East,"['305', '505']","['East', 'East']",2189
2146,-79.39396,7171,Dundas St West At Beverley St,43.6537099,East,"['305', '306', '505', '506']","['East', 'East', 'East', 'East']",2146
2173,-79.39155,9016,Dundas St West At McCaul St,43.6542199,East,"['305', '306', '505', '506']","['East', 'East', 'East', 'East']",2173
2193,-79.38874,7311,Dundas St West At University Ave - St Patrick Station,43.65468,East,"['305', '306', '505', '506']","['East', 'East', 'East', 'East']",2193
2153,-79.3861299,6459,Dundas St West At Chestnut St,43.65514,East,"['305', '306', '505', '506']","['East', 'East', 'East', 'East']",2153
2142,-79.3840099,2856,Dundas St West At Bay St,43.65558,East,"['305', '306', '505', '506']","['East', 'East', 'East', 'East']",2142
2197,-79.38119,3874,Dundas St West At Yonge St - Dundas Station,43.6561899,East,"['305', '505']","['East', 'East']",2197
2116,-79.37736,3471,Dundas St East At Church St,43.6563699,East,"['305', '505']","['East', 'East']",2116
2118,-79.37471,3184,Dundas St East At Jarvis St,43.6569499,East,"['305', '505']","['East', 'East']",2118
2130,-79.3713,2641,Dundas St East At Sherbourne St,43.65822,East,"['305', '505']","['East', 'East']",2130
2122,-79.3686499,2749,Dundas St East At Ontario St,43.65875,East,"['305', '505']","['East', 'East']",2122
2124,-79.36629,5988,Dundas St East At Parliament St,43.65928,East,"['305', '505']","['East', 'East']",2124
14639,-79.35815,14161,Broadview Station,43.6770099,West,"['305', '505']","['West', 'West']",14639
2123,-79.36836,8277,Dundas St East At Ontario St,43.6589599,West,"['305', '505']","['West', 'West']",2123
2131,-79.37088,2704,Dundas St East At Sherbourne St,43.6584099,West,"['305', '505']","['West', 'West']",2131
2119,-79.37438,9060,Dundas St East At Jarvis St,43.6571599,West,"['305', '505']","['West', 'West']",2119
2117,-79.37699,3092,Dundas St East At Church St,43.6565799,West,"['305', '505']","['West', 'West']",2117
2136,-79.38075,6839,Dundas St East At Yonge St - Dundas Station,43.6564299,West,"['305', '505']","['West', 'West']",2136
2143,-79.38349,2261,Dundas St West At Bay St,43.6558499,West,"['305', '505']","['West', 'West']",2143
2154,-79.38587,7264,Dundas St West At Chestnut St,43.6553399,West,"['305', '306', '505', '506']","['West', 'West', 'West', 'West']",2154
2194,-79.3878099,9824,Dundas St West At University Ave - St Patrick Station,43.65492,West,"['305', '306', '505', '506']","['West', 'West', 'West', 'West']",2194
16064,-79.39014,24464,Dundas St West At St Patrick St,43.6545699,West,"['305', '306', '505', '506']","['West', 'West', 'West', 'West']",16064
2147,-79.39372,2368,Dundas St West At Beverley St,43.6538899,West,"['305', '306', '505', '506']","['West', 'West', 'West', 'West']",2147
2190,-79.39771,1212,Dundas St West At Spadina Ave,43.6530599,West,"['305', '306', '505', '506']","['West', 'West', 'West', 'West']",2190
2157,-79.40216,4557,Dundas St West At Denison Ave,43.6521099,West,"['305', '505']","['West', 'West']",2157
2141,-79.4058699,4491,Dundas St West At Bathurst St - Toronto Western Hospital,43.6524199,West,"['305', '505']","['West', 'West']",2141
15355,-79.41082,15147,Dundas St West At Manning Ave,43.6513799,West,"['305', '505']","['West', 'West']",15355
2166,-79.41381,4551,Dundas St West At Grace St,43.6507799,West,"['305', '505']","['West', 'West']",2166
15356,-79.4181199,15148,Dundas St West At Shaw St,43.64991,West,"['305', '505']","['West', 'West']",15356
2176,-79.42049,9427,Dundas St West At Ossington Ave,43.6494299,West,"['305', '505']","['West', 'West']",2176
2159,-79.42455,2426,Dundas St West At Dovercourt Rd,43.6495099,West,"['305', '505']","['West', 'West']",2159
2183,-79.42647,2953,Dundas St West At Rusholme Rd,43.6495499,West,"['305', '505']","['West', 'West']",2183
2165,-79.42963,2342,Dundas St West At Gladstone Ave,43.6496299,West,"['305', '505']","['West', 'West']",2165
2161,-79.43131,6422,Dundas St West At Dufferin St,43.6496799,West,"['305', '505']","['West', 'West']",2161
2187,-79.4335199,7186,Dundas St West At Sheridan Ave,43.6498299,West,"['305', '505']","['West', 'West']",2187
2152,-79.4355,2098,Dundas St West At Brock Ave,43.6499399,West,"['305', '505']","['West', 'West']",2152
2171,-79.4394799,2986,Dundas St West At Lansdowne Ave,43.6502099,West,"['305', '505']","['West', 'West']",2171
990,-79.44278,4902,Dundas St West At Sterling Rd,43.6506799,West,"['305', '306', '505', '506']","['West', 'West', 'West', 'West']",990
988,-79.44501,1195,Dundas St West At Sorauren Ave,43.6512,West,"['305', '306', '505', '506']","['West', 'West', 'West', 'West']",988
986,-79.4474599,5094,Dundas St West At Howard Park Ave,43.6519199,West,"['305', '306', '505', '506']","['West', 'West', 'West', 'West']",986
2182,-79.45136,5074,Dundas St West At Roncesvalles Ave,43.65369,West,"['305', '505']","['West', 'West']",2182
14741,-79.3018,14260,Main Street Station,43.6888599,West,['306'],['West'],14741
1263,-79.30201,3867,Main St At Danforth Ave,43.6882999,West,"['306', '506']","['West', 'West']",1263
1126,-79.30273,800,Gerrard St East At Norwood Rd,43.6834599,West,"['306', '506']","['West', 'West']",1126
1119,-79.3058399,8056,Gerrard St East At Glenmount Park Rd,43.68277,West,"['306', '506']","['West', 'West']",1119
1121,-79.3082899,4414,Gerrard St East At Golfview Ave,43.68209,West,"['306', '506']","['West', 'West']",1121
1128,-79.3105899,2621,Gerrard St East At Woodbine Ave,43.68092,West,"['306', '506']","['West', 'West']",1128
1123,-79.3126599,1268,Gerrard St East At Kingsmount Park Rd,43.6798599,West,"['306', '506']","['West', 'West']",1123
1116,-79.3149099,6656,Gerrard St East At Bowmore Rd,43.67819,West,"['306', '506']","['West', 'West']",1116
1114,-79.31688,4443,Gerrard St East At Beaton Ave,43.6762899,West,"['306', '506']","['West', 'West']",1114
1117,-79.3198399,4650,Gerrard St East At Coxwell Ave,43.6756599,West,"['306', '506']","['West', 'West']",1117
1794,-79.3194499,10283,Coxwell Ave At Lower Gerrard St East,43.6730899,West,"['306', '506']","['West', 'West']",1794
1079,-79.32172,2048,Gerrard St East At Ashdale Ave,43.6723899,West,"['306', '506']","['West', 'West']",1079
15357,-79.32368,15149,Gerrard St East At Woodfield Rd,43.6719499,West,"['306', '506']","['West', 'West']",15357
1090,-79.3278599,4325,Gerrard St East At Greenwood Ave,43.671,West,"['306', '506']","['West', 'West']",1090
1103,-79.33032,1123,Gerrard St East At Prust Ave,43.6704499,West,"['306', '506']","['West', 'West']",1103
1095,-79.33293,7935,Gerrard St East At Leslie St,43.6698799,West,"['306', '506']","['West', 'West']",1095
1093,-79.3354199,3292,Gerrard St East At Jones Ave,43.66933,West,"['306', '506']","['West', 'West']",1093
1099,-79.33745,971,Gerrard St East At Marjory Ave,43.6688599,"West, South","['306', '325', '506']","['West', 'South', 'West']",1099
1101,-79.3402499,3164,Gerrard St East At Pape Ave,43.66823,"West, South","['306', '325', '506']","['West', 'South', 'West']",1101
1084,-79.3425999,8702,Gerrard St East At Carlaw Ave,43.66772,West,"['306', '506']","['West', 'West']",1084
1097,-79.3450799,10019,Gerrard St East At Logan Ave,43.66716,West,"['306', '506']","['West', 'West']",1097
1086,-79.3484199,7703,Gerrard St East At De Grassi St,43.66641,West,"['306', '506']","['West', 'West']",1086
1082,-79.3523599,4575,Gerrard St East At Broadview Ave,43.66555,West,"['306', '506']","['West', 'West']",1082
1105,-79.35905,7379,Gerrard St East At River St,43.6638199,West,"['306', '506']","['West', 'West']",1105
1110,-79.36127,2976,Gerrard St East At Sumach St,43.6632699,West,"['306', '506']","['West', 'West']",1110
1107,-79.3638999,2615,Gerrard St East At Sackville St,43.66269,West,"['306', '506']","['West', 'West']",1107
1102,-79.3667,7132,Gerrard St East At Parliament St,43.6620699,West,"['306', '506']","['West', 'West']",1102
1451,-79.36772,614,Parliament St At Carlton St,43.6639099,West,"['306', '506']","['West', 'West']",1451
756,-79.3704,1694,Carlton St At Ontario St,43.6638199,West,"['306', '506']","['West', 'West']",756
759,-79.3728999,2737,Carlton St At Sherbourne St,43.66329,West,"['306', '506']","['West', 'West']",759
754,-79.3765699,4797,Carlton St At Jarvis St,43.66251,West,"['306', '506']","['West', 'West']",754
752,-79.37919,1016,Carlton St At Church St,43.6619799,West,"['306', '506']","['West', 'West']",752
760,-79.38291,3548,Carlton St At Yonge St - College Station,43.6614399,West,"['306', '506']","['West', 'West']",760
814,-79.38557,7982,College St At Bay St,43.6609199,West,"['306', '506']","['West', 'West']",814
